"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b4807",36.5780111663297,0.947839176319123,0.850349596693913,1.11464647011563,0.265001948335086,0.647097780818234
"b4808",7.41709282621016,5.50795766770883,1.34772329004332,4.08686093681127,4.37249023107756e-05,0.00229555737131572
"b4809",31.2831318743698,0.182658207643653,0.481664732254135,0.379222715329049,0.704522484755353,0.960830802373751
"b4810",917.852306849881,-0.891620299506318,0.296392032229308,-3.00824651998911,0.00262759897791536,0.0551795785362225
"b4811",25.0767357769531,0.709772860455039,0.413240368487031,1.71757871345842,0.0858734857419853,0.481351822227041
"b4813",157.70514436286,-4.62713631055389,1.25206514363379,-3.69560348683204,NA,NA
"b4814",28.034071930456,-0.0836818189855576,0.516527145182975,-0.162008559987518,0.871299113028847,0.96488016732503
"b4825",485.253154359426,0.682591654191866,0.604945941463951,1.12835148962239,0.259171506192312,0.640306074122183
"b4826",1.17597600304792,-0.124789471733433,1.79717069050593,-0.0694366274682029,0.944642074759827,0.972425665193939
"b4827",17.554182208973,-0.0525149855490933,0.549717603829132,-0.0955308419874007,0.923893193913431,0.970420626921223
"b4828",9.15544375522911,1.38196033399603,0.655286981952213,2.10893909395076,0.0349498391815176,0.255123014969401
"b4829",47.6842037979692,0.00630014384507338,0.899376434004054,0.00700501325904764,0.994410853782521,0.994410853782521
"b4830",36.6556410168535,-1.63277584476155,0.42245542147055,-3.86496601008912,0.000111104670843357,0.004666396175421
"b4831",133.96988826188,-1.18434062852582,0.429274886847035,-2.7589329467294,0.00579904325273775,0.0874023579319472
"b4832",16.3421667384511,-1.2563159904624,0.538323409657051,-2.33375693481871,0.0196084529708204,0.183582589285438
"b4833",0,NA,NA,NA,NA,NA
"b4834",18.3902109637123,-0.0457096786341501,0.524252104545104,-0.0871902625432712,0.930520279245278,0.972185366375664
"b4835",3.30094429300135,0.27739578937965,1.02253839969915,0.271281537653026,0.78617450505724,0.96488016732503
"b4836",551.600189027297,-1.51380619527297,0.498541750852702,-3.03646824500408,0.00239367320496226,0.0551795785362225
"b4838",628.025284712173,-0.778151680929216,0.330178432951089,-2.35676108210402,0.018435103471036,0.183582589285438
"b4839",10.1008049233005,1.48352033692865,0.639943084091385,2.31820668713845,0.0204380907823363,0.183582589285438
"b4840",1708.63454170401,-0.0562824786336315,0.298432767601088,-0.18859349489686,0.850411431643505,0.96488016732503
"b4841",738.11225426655,-0.324465986153315,0.282206673526404,-1.14974597198162,0.250248513721657,0.635421236135494
"b4842",222.949145787272,-0.134446815855512,0.242485078343889,-0.554453976194119,0.579268194880771,0.907808365111656
"b4843",139.750818168467,-0.128947599655632,0.310255980380037,-0.415616806153686,0.677690426815259,0.959440395180828
"b4844",93.4226775065898,-0.482837171393395,0.375786343552815,-1.28487152254785,0.198837183775047,0.619385488027837
"b4846",68.8747633204193,0.441950354016317,0.340005733349117,1.29983206360383,0.193658533501896,0.619385488027837
